Started At,Duration,Preset,Activity
10/17/2024 06:29:50,1:1:18,,Meditation
10/16/2024 06:43:19,1:5:21,,Meditation
10/15/2024 06:49:21,1:5:0,,Meditation
10/14/2024 06:29:54,0:59:29,,Meditation
10/13/2024 23:58:40,0:8:1,,Meditation
10/12/2024 20:52:30,0:1:53,,Meditation
10/11/2024 04:21:26,0:55:47,,Meditation
10/10/2024 09:49:06,1:1:41,,Meditation
10/09/2024 06:20:41,1:1:16,,Meditation
10/08/2024 06:35:45,1:10:9,,Meditation
10/07/2024 06:27:50,1:3:48,,Meditation
10/06/2024 21:26:08,0:22:16,,Meditation
10/05/2024 08:32:05,1:2:36,,Meditation
10/04/2024 06:23:36,1:5:0,,Meditation
10/03/2024 18:40:24,1:1:39,,Meditation
10/02/2024 06:22:48,1:9:32,,Meditation
10/01/2024 06:31:42,0:44:52,,Meditation
09/30/2024 06:24:29,1:0:29,,Meditation
09/29/2024 23:59:19,0:3:25,,Meditation
09/28/2024 07:36:39,1:2:29,,Meditation
09/27/2024 05:52:29,1:2:50,,Meditation
09/26/2024 06:23:57,1:2:21,,Meditation
09/25/2024 06:24:18,1:2:31,,Meditation
09/24/2024 06:35:19,1:1:34,,Meditation
09/23/2024 06:33:39,1:4:32,,Meditation
09/22/2024 22:49:11,0:1:21,,Meditation
09/21/2024 07:21:47,1:5:55,,Meditation
09/20/2024 06:27:41,1:5:0,,Meditation
09/19/2024 08:13:03,0:30:30,,Meditation
09/19/2024 06:42:16,0:24:16,,Meditation
09/18/2024 08:53:56,1:3:54,,Meditation
09/17/2024 06:30:26,0:59:2,,Meditation
09/16/2024 07:37:12,1:5:0,,Meditation
09/15/2024 20:52:39,1:3:19,,Meditation
09/15/2024 08:50:45,0:5:45,,Meditation
09/14/2024 23:19:35,0:3:57,,Meditation
09/13/2024 06:29:41,1:5:49,,Meditation
09/12/2024 06:39:31,1:5:0,,Meditation
09/11/2024 06:37:42,1:3:6,,Meditation
09/10/2024 06:32:47,1:0:0,,Meditation
09/09/2024 06:39:25,1:1:2,,Meditation
09/08/2024 07:44:18,1:5:0,,Meditation
09/07/2024 08:57:12,0:3:18,,Meditation
09/06/2024 06:34:57,1:0:57,,Meditation
09/05/2024 06:29:16,1:5:0,,Meditation
09/04/2024 06:40:03,1:0:28,,Meditation
09/03/2024 05:09:38,1:0:50,,Meditation
09/02/2024 10:00:00,0:36:0,,Meditation
09/01/2024 09:37:00,0:9:0,,Meditation
08/31/2024 13:56:14,0:51:11,,Meditation
08/30/2024 18:06:10,0:14:51,,Meditation
08/29/2024 20:51:15,0:7:14,,Meditation
08/28/2024 08:54:53,0:49:25,,Meditation
08/27/2024 21:29:59,1:5:0,,Meditation
08/26/2024 17:55:05,1:5:0,,Meditation
08/25/2024 20:07:51,0:17:29,,Meditation
08/24/2024 07:35:53,1:5:0,,Meditation
08/23/2024 22:17:45,0:5:47,,Meditation
08/23/2024 18:09:49,0:13:47,,Meditation
08/22/2024 06:57:23,1:5:0,,Meditation
08/21/2024 07:06:58,0:45:21,,Meditation
08/20/2024 06:56:46,1:1:54,,Meditation
08/19/2024 06:50:15,1:4:33,,Meditation
08/18/2024 16:52:51,0:11:49,,Meditation
08/17/2024 22:20:55,0:1:36,,Meditation
08/16/2024 10:25:57,0:54:38,,Meditation
08/15/2024 09:03:25,1:7:4,,Meditation
08/14/2024 17:30:34,0:21:3,,Meditation
08/14/2024 13:25:02,0:22:23,,Meditation
08/13/2024 09:23:25,1:6:12,,Meditation
08/12/2024 21:30:29,1:6:18,,Meditation
08/11/2024 23:19:58,0:5:53,,Meditation
08/10/2024 11:46:23,1:0:1,,Meditation
08/10/2024 02:07:07,0:12:55,,Meditation
08/08/2024 11:08:50,1:0:59,,Meditation
08/07/2024 21:41:31,1:5:0,,Meditation
08/06/2024 09:47:09,1:5:0,,Meditation
08/05/2024 08:40:57,0:26:55,,Meditation
08/04/2024 11:08:35,0:54:21,,Meditation
08/03/2024 15:19:28,0:24:54,,Meditation
08/02/2024 07:45:54,1:2:37,,Meditation
08/01/2024 08:31:19,1:4:16,,Meditation
07/31/2024 09:46:09,1:5:0,,Meditation
07/30/2024 20:03:28,1:5:0,,Meditation
07/29/2024 09:52:27,1:3:0,,Meditation
07/28/2024 13:01:00,1:5:53,,Meditation
07/27/2024 09:53:28,1:2:23,,Meditation
07/26/2024 22:54:08,0:47:33,,Meditation
07/25/2024 11:41:56,0:53:8,,Meditation
07/25/2024 11:30:14,0:11:39,,Meditation
07/24/2024 19:00:20,0:13:56,,Meditation
07/23/2024 10:31:58,1:5:0,,Meditation
07/22/2024 09:35:16,1:5:0,,Meditation
07/21/2024 09:49:43,0:28:50,,Meditation
07/21/2024 06:42:30,0:22:25,,Meditation
07/20/2024 07:39:59,1:0:29,,Meditation
07/19/2024 06:14:55,1:5:0,,Meditation
07/18/2024 05:37:13,1:4:1,,Meditation
07/17/2024 05:41:00,1:0:8,,Meditation
07/16/2024 06:48:30,1:6:52,,Meditation
07/15/2024 09:00:47,1:0:36,,Meditation
07/14/2024 20:25:34,0:16:50,,Meditation
07/13/2024 11:17:16,1:5:0,,Meditation
07/12/2024 06:35:41,1:3:52,,Meditation
07/11/2024 06:07:23,1:1:3,,Meditation
07/10/2024 23:59:16,0:10:52,,Meditation
07/10/2024 03:50:33,0:20:9,,Meditation
07/09/2024 14:00:32,1:2:16,,Meditation
07/08/2024 23:57:45,1:0:22,,Meditation
07/08/2024 16:02:30,0:17:46,,Meditation
07/07/2024 12:52:44,1:0:30,,Meditation
07/06/2024 22:23:55,1:5:35,,Meditation
07/06/2024 11:37:14,0:16:48,,Meditation
07/05/2024 11:49:17,0:49:53,,Meditation
07/05/2024 07:09:43,0:21:24,,Meditation
07/04/2024 09:45:19,1:2:7,,Meditation
07/03/2024 10:29:55,1:2:23,,Meditation
07/02/2024 07:36:27,1:6:28,,Meditation
07/01/2024 16:53:14,1:30:33,,Meditation
06/30/2024 20:10:38,1:4:2,,Meditation
06/29/2024 16:35:04,1:5:0,,Meditation
06/28/2024 11:06:27,0:42:48,,Meditation
06/28/2024 06:22:13,0:20:48,,Meditation
06/27/2024 09:40:18,1:5:0,,Meditation
06/26/2024 22:37:28,0:7:6,,Meditation
06/26/2024 07:45:41,0:20:44,,Meditation
06/25/2024 07:40:40,1:5:0,,Meditation
06/24/2024 06:00:31,1:5:0,,Meditation
06/23/2024 02:31:33,1:2:9,,Meditation
06/22/2024 07:33:46,0:34:45,,Meditation
06/21/2024 02:02:44,0:24:17,,Meditation
06/20/2024 23:37:53,0:13:22,,Meditation
06/19/2024 22:26:32,1:0:29,,Meditation
06/18/2024 22:36:28,0:54:13,,Meditation
06/18/2024 15:59:19,0:16:9,,Meditation
06/16/2024 22:10:22,0:44:59,,Meditation
06/15/2024 22:16:54,1:0:25,,Meditation
06/14/2024 22:15:58,0:56:26,,Meditation
06/14/2024 02:22:41,0:35:15,,Meditation
06/14/2024 00:44:09,0:13:8,,Meditation
06/13/2024 21:47:48,0:19:41,,Meditation
06/12/2024 23:36:46,0:49:24,,Meditation
06/11/2024 21:14:06,1:5:21,,Meditation
06/10/2024 22:24:34,1:4:51,,Meditation
06/10/2024 06:24:02,0:47:45,,Meditation
06/10/2024 00:28:10,1:5:0,,Meditation
06/09/2024 23:05:23,1:5:0,,Meditation
06/08/2024 03:52:17,1:2:6,,Meditation
06/07/2024 08:23:43,1:13:52,,Meditation
06/06/2024 06:24:05,0:56:59,,Meditation
06/05/2024 07:14:53,1:0:2,,Meditation
06/04/2024 09:21:41,1:4:38,,Meditation
06/03/2024 07:17:54,1:5:23,,Meditation
06/02/2024 11:52:32,1:0:40,,Meditation
06/01/2024 07:14:58,1:2:6,,Meditation
05/31/2024 09:54:16,1:2:34,,Meditation
05/30/2024 20:22:29,1:0:46,,Meditation
05/29/2024 06:36:19,1:5:0,,Meditation
05/28/2024 06:35:59,1:5:12,,Meditation
05/27/2024 08:29:49,1:1:25,,Meditation
05/26/2024 09:24:43,1:5:0,,Meditation
05/25/2024 10:41:03,1:0:12,,Meditation
05/24/2024 06:39:16,1:6:5,,Meditation
05/23/2024 06:35:53,1:5:0,,Meditation
05/22/2024 06:06:09,1:0:26,,Meditation
05/21/2024 06:32:46,1:5:27,,Meditation
05/20/2024 06:30:48,1:5:18,,Meditation
05/19/2024 09:38:03,1:4:17,,Meditation
05/18/2024 09:55:13,1:3:3,,Meditation
05/17/2024 06:29:12,1:5:0,,Meditation
05/16/2024 06:28:59,1:5:0,,Meditation
05/15/2024 06:33:06,1:10:2,,Meditation
05/14/2024 06:35:52,1:5:0,,Meditation
05/13/2024 06:46:30,1:2:31,,Meditation
05/12/2024 22:12:25,1:1:39,,Meditation
05/11/2024 20:19:28,1:0:8,,Meditation
05/10/2024 06:32:50,1:5:50,,Meditation
05/09/2024 06:36:12,1:7:15,,Meditation
05/08/2024 06:35:39,1:5:51,,Meditation
05/07/2024 06:31:37,1:6:4,,Meditation
05/06/2024 06:44:09,1:4:2,,Meditation
05/05/2024 23:52:42,0:0:6,,Meditation
05/04/2024 23:07:04,0:0:28,,Meditation
05/03/2024 23:56:44,0:11:22,,Meditation
05/03/2024 23:49:35,0:0:17,,Meditation
05/02/2024 06:38:48,1:6:20,,Meditation
05/01/2024 06:20:32,1:4:20,,Meditation
04/30/2024 06:21:03,1:5:59,,Meditation
04/29/2024 06:28:05,1:7:24,,Meditation
04/28/2024 06:18:25,1:6:23,,Meditation
04/27/2024 03:27:17,1:3:34,,Meditation
04/26/2024 06:41:09,0:59:35,,Meditation
04/25/2024 06:56:19,1:0:0,,Meditation
04/24/2024 06:44:22,1:0:0,,Meditation
04/23/2024 23:19:53,0:21:30,,Meditation
04/23/2024 21:56:29,0:31:7,,Meditation
04/22/2024 06:49:19,1:2:11,,Meditation
04/21/2024 09:48:36,1:0:0,,Meditation
04/20/2024 10:08:51,0:57:18,,Meditation
04/19/2024 06:43:44,0:59:37,,Meditation
04/18/2024 06:34:08,1:4:23,,Meditation
04/17/2024 06:31:51,1:5:9,,Meditation
04/16/2024 06:47:37,1:0:0,,Meditation
04/15/2024 06:35:40,0:57:1,,Meditation
04/14/2024 07:47:59,1:0:0,,Meditation
04/13/2024 04:36:22,0:52:45,,Meditation
04/12/2024 06:51:08,1:0:0,,Meditation
04/11/2024 06:55:53,1:0:0,,Meditation
04/10/2024 06:46:39,1:0:0,,Meditation
04/09/2024 06:36:38,1:2:36,,Meditation
04/08/2024 06:53:11,1:0:0,,Meditation
04/07/2024 07:52:02,1:1:24,,Meditation
04/06/2024 09:41:39,1:1:47,,Meditation
04/05/2024 09:13:41,1:0:0,,Meditation
04/04/2024 07:42:02,1:2:17,,Meditation
04/03/2024 09:03:42,1:5:0,,Meditation
04/02/2024 09:20:49,1:0:0,,Meditation
04/01/2024 07:09:55,1:0:0,,Meditation
03/31/2024 07:59:38,1:1:48,,Meditation
03/30/2024 08:07:25,1:0:0,,Meditation
03/29/2024 07:35:45,1:0:0,,Meditation
03/28/2024 08:38:40,0:57:59,,Meditation
03/27/2024 05:34:47,0:54:50,,Meditation
03/26/2024 06:36:54,1:0:0,,Meditation
03/25/2024 02:53:03,1:1:17,,Meditation
03/24/2024 03:26:45,0:30:10,,Meditation
03/23/2024 06:22:07,0:29:38,,Meditation
03/22/2024 13:15:42,0:42:4,,Meditation
03/21/2024 06:54:47,1:0:0,,Meditation
03/20/2024 06:45:05,1:0:0,,Meditation
03/19/2024 06:47:02,1:0:0,,Meditation
03/18/2024 06:42:04,1:0:0,,Meditation
03/17/2024 21:28:56,0:56:42,,Meditation
03/16/2024 06:06:02,0:23:23,,Meditation
03/16/2024 05:37:24,0:21:53,,Meditation
03/15/2024 06:40:01,1:0:0,,Meditation
03/14/2024 06:43:35,1:0:0,,Meditation
03/13/2024 06:40:14,1:0:0,,Meditation
03/12/2024 06:38:56,1:0:0,,Meditation
03/11/2024 10:06:48,0:51:10,,Meditation
03/10/2024 19:20:05,1:0:0,,Meditation
03/09/2024 20:48:17,0:20:54,,Meditation
03/09/2024 11:21:17,0:15:56,,Meditation
03/08/2024 06:48:26,1:0:0,,Meditation
03/07/2024 23:51:21,0:28:40,,Meditation
03/06/2024 07:53:01,0:55:27,,Meditation
03/05/2024 22:42:50,0:31:9,,Meditation
03/04/2024 06:54:34,0:54:13,,Meditation
03/03/2024 06:56:22,1:0:0,,Meditation
03/02/2024 10:12:25,0:59:13,,Meditation
03/01/2024 06:50:10,0:56:49,,Meditation
02/29/2024 06:57:58,1:0:0,,Meditation
02/28/2024 06:51:59,1:0:27,,Meditation
02/27/2024 08:39:47,0:57:2,,Meditation
02/26/2024 06:53:37,1:0:0,,Meditation
02/25/2024 16:05:02,0:32:13,,Meditation
02/25/2024 12:41:41,0:35:34,,Meditation
02/24/2024 09:04:54,0:59:55,,Meditation
02/23/2024 07:02:48,1:0:0,,Meditation
02/22/2024 08:20:47,0:56:25,,Meditation
02/21/2024 06:31:48,0:55:32,,Meditation
02/20/2024 06:28:48,1:0:50,,Meditation
02/19/2024 10:58:22,1:0:47,,Meditation
02/18/2024 09:26:16,1:0:0,,Meditation
02/17/2024 06:06:02,1:0:0,,Meditation
02/16/2024 03:06:50,1:0:0,,Meditation
02/15/2024 07:56:50,1:0:19,,Meditation
02/14/2024 07:46:25,1:0:32,,Meditation
02/13/2024 07:45:52,1:0:25,,Meditation
02/12/2024 08:17:24,1:0:0,,Meditation
02/11/2024 21:14:11,1:0:0,,Meditation
02/10/2024 11:20:00,1:5:8,,Meditation
02/09/2024 15:23:47,0:51:12,,Meditation
02/09/2024 06:55:16,0:28:35,,Meditation
02/08/2024 06:42:41,1:2:59,,Meditation
02/07/2024 06:55:07,1:0:0,,Meditation
02/06/2024 08:16:18,0:24:56,,Meditation
02/06/2024 06:29:59,0:28:7,,Meditation
02/05/2024 07:05:32,0:54:24,,Meditation
02/04/2024 10:19:58,1:3:28,,Meditation
02/03/2024 08:36:17,0:51:46,,Meditation
02/02/2024 06:53:40,1:4:1,,Meditation
02/01/2024 06:29:56,0:46:54,,Meditation
01/31/2024 10:17:42,0:53:45,,Meditation
01/30/2024 06:18:39,1:3:0,,Meditation
01/29/2024 08:05:48,0:47:16,,Meditation
01/28/2024 23:59:04,0:21:35,,Meditation
01/28/2024 10:35:03,0:16:16,,Meditation
01/27/2024 09:22:00,1:1:27,,Meditation
01/26/2024 06:27:23,0:48:10,,Meditation
01/25/2024 06:27:20,1:4:56,,Meditation
01/24/2024 06:26:26,0:56:37,,Meditation
01/23/2024 06:34:34,1:4:41,,Meditation
01/22/2024 06:35:39,1:3:0,,Meditation
01/21/2024 08:11:01,1:0:20,,Meditation
01/20/2024 13:39:33,0:51:43,,Meditation
01/19/2024 06:32:17,1:3:0,,Meditation
01/18/2024 06:40:08,1:1:0,,Meditation
01/17/2024 07:23:50,1:3:18,,Meditation
01/16/2024 23:58:43,0:25:12,,Meditation
01/16/2024 08:11:41,0:31:28,,Meditation
01/15/2024 10:43:24,0:54:35,,Meditation
01/14/2024 09:39:07,0:56:18,,Meditation
01/13/2024 10:21:25,0:52:0,,Meditation
01/12/2024 06:30:41,1:3:0,,Meditation
01/11/2024 06:30:19,0:53:2,,Meditation
01/11/2024 03:36:50,0:13:38,,Meditation
01/10/2024 07:13:24,1:5:29,,Meditation
01/09/2024 06:36:47,0:52:0,,Meditation
01/08/2024 06:33:16,0:53:12,,Meditation
01/08/2024 00:53:16,0:17:42,,Meditation
01/07/2024 12:11:55,0:53:3,,Meditation
01/06/2024 23:59:53,0:21:17,,Meditation
01/05/2024 06:56:54,0:52:0,,Meditation
01/04/2024 06:50:23,0:52:37,,Meditation
01/03/2024 07:35:33,0:52:0,,Meditation
01/02/2024 07:56:20,0:52:34,,Meditation
01/01/2024 23:15:49,0:52:0,,Meditation
12/31/2023 07:09:05,0:19:20,,Meditation
12/30/2023 02:22:46,0:54:37,,Meditation
12/29/2023 13:30:47,0:52:36,,Meditation
12/28/2023 10:29:53,0:52:14,,Meditation
12/27/2023 08:01:50,0:52:38,,Meditation
12/26/2023 23:20:40,0:6:54,,Meditation
12/26/2023 13:23:58,0:46:51,,Meditation
12/26/2023 03:08:54,0:6:18,,Meditation
12/25/2023 22:41:14,0:14:12,,Meditation
12/25/2023 11:49:42,0:11:41,,Meditation
12/24/2023 16:33:26,0:35:2,,Meditation
12/24/2023 07:52:19,0:3:2,,Meditation
12/23/2023 09:06:59,0:29:44,,Meditation
12/22/2023 07:47:06,0:46:13,,Meditation
